url;file;result;test
-;-;-;freeRouter v22.5.21-cur, done by cs@nop.
-;-;-;2022-05-21 06:43:17, took 00:08:28, with 80 workers, on 2882 cases, 0 failed, 0 traces, 0 retries
-;-;-;./rtr.bin
http://sources.freertr.org/cfg/basic01.tst;basic01.tst;success;dummy test
http://sources.freertr.org/cfg/basic02.tst;basic02.tst;success;interface with slot
http://sources.freertr.org/cfg/basic03.tst;basic03.tst;success;subinterface with slot
http://sources.freertr.org/cfg/conn-amt01.tst;conn-amt01.tst;success;amt over ipv4
http://sources.freertr.org/cfg/conn-amt02.tst;conn-amt02.tst;success;amt over ipv6
http://sources.freertr.org/cfg/conn-amt03.tst;conn-amt03.tst;success;amt over amt
http://sources.freertr.org/cfg/conn-amt04.tst;conn-amt04.tst;success;amt over loopback
http://sources.freertr.org/cfg/conn-anyconn.tst;conn-anyconn.tst;success;ip over anyconnect
http://sources.freertr.org/cfg/conn-arcnet.tst;conn-arcnet.tst;success;arcnet encapsulation
http://sources.freertr.org/cfg/conn-atmdxi.tst;conn-atmdxi.tst;success;atmdxi encapsulation
http://sources.freertr.org/cfg/conn-atmsar.tst;conn-atmsar.tst;success;atmsar encapsulation
http://sources.freertr.org/cfg/conn-ax2501.tst;conn-ax2501.tst;success;ppp with ax25
http://sources.freertr.org/cfg/conn-ax2502.tst;conn-ax2502.tst;success;hdlc with ax25
http://sources.freertr.org/cfg/conn-ax2503.tst;conn-ax2503.tst;success;lapb with ax25
http://sources.freertr.org/cfg/conn-ax2504.tst;conn-ax2504.tst;success;framerelay with ax25
http://sources.freertr.org/cfg/conn-ax2505.tst;conn-ax2505.tst;success;atmdxi with ax25
http://sources.freertr.org/cfg/conn-ax2506.tst;conn-ax2506.tst;success;isdn with ax25
http://sources.freertr.org/cfg/conn-ax2507.tst;conn-ax2507.tst;success;sep with ax25
http://sources.freertr.org/cfg/conn-bridge01.tst;conn-bridge01.tst;success;chain bridged ethernet
http://sources.freertr.org/cfg/conn-bridge02.tst;conn-bridge02.tst;success;chain bridged ethernet vlan
http://sources.freertr.org/cfg/conn-bridge03.tst;conn-bridge03.tst;success;star bridged ethernet
http://sources.freertr.org/cfg/conn-bridge04.tst;conn-bridge04.tst;success;bridged ethernet over hdlc
http://sources.freertr.org/cfg/conn-bridge05.tst;conn-bridge05.tst;success;bridged ethernet over ppp
http://sources.freertr.org/cfg/conn-bridge06.tst;conn-bridge06.tst;success;bridged ethernet over framerelay
http://sources.freertr.org/cfg/conn-bridge07.tst;conn-bridge07.tst;success;bridged ethernet over atmdxi
http://sources.freertr.org/cfg/conn-bridge08.tst;conn-bridge08.tst;success;bridged ethernet over atmsar
http://sources.freertr.org/cfg/conn-bridge09.tst;conn-bridge09.tst;success;bridged ethernet over gre
http://sources.freertr.org/cfg/conn-bridge10.tst;conn-bridge10.tst;success;bridge with spantree
http://sources.freertr.org/cfg/conn-bridge11.tst;conn-bridge11.tst;success;bridged ethernet over bridge
http://sources.freertr.org/cfg/conn-bridge12.tst;conn-bridge12.tst;success;bridge split horizon
http://sources.freertr.org/cfg/conn-bridge13.tst;conn-bridge13.tst;success;bridge mac learning
http://sources.freertr.org/cfg/conn-bridge14.tst;conn-bridge14.tst;success;bridge mac rewrite
http://sources.freertr.org/cfg/conn-bridge15.tst;conn-bridge15.tst;success;bridge port security
http://sources.freertr.org/cfg/conn-bridge16.tst;conn-bridge16.tst;success;bridge static address
http://sources.freertr.org/cfg/conn-bridge17.tst;conn-bridge17.tst;success;bridge port split horizon
http://sources.freertr.org/cfg/conn-bridge18.tst;conn-bridge18.tst;success;bridge port unsplit horizon
http://sources.freertr.org/cfg/conn-bstun.tst;conn-bstun.tst;success;ppp over bstun
http://sources.freertr.org/cfg/conn-bundle01.tst;conn-bundle01.tst;success;bundle of ethernet port
http://sources.freertr.org/cfg/conn-bundle02.tst;conn-bundle02.tst;success;bundle of serial port
http://sources.freertr.org/cfg/conn-bundle03.tst;conn-bundle03.tst;success;bundle of ethernet ports
http://sources.freertr.org/cfg/conn-bundle04.tst;conn-bundle04.tst;success;bundle of serial ports
http://sources.freertr.org/cfg/conn-bundle05.tst;conn-bundle05.tst;success;bundle over bridge
http://sources.freertr.org/cfg/conn-bundle06.tst;conn-bundle06.tst;success;bridge over bundle
http://sources.freertr.org/cfg/conn-bundle07.tst;conn-bundle07.tst;success;replicating bundle
http://sources.freertr.org/cfg/conn-bundle08.tst;conn-bundle08.tst;success;unreplicating bundle
http://sources.freertr.org/cfg/conn-bundle09.tst;conn-bundle09.tst;success;dejittering bundle
http://sources.freertr.org/cfg/conn-bundle10.tst;conn-bundle10.tst;success;loadbalancing bundle
http://sources.freertr.org/cfg/conn-bundle11.tst;conn-bundle11.tst;success;multichassis bundle
