url;file;result;test
-;-;-;freeRouter v25.8.27-cur, done by sprscc13@mrn0b0dy.
-;-;-;2025-08-27 21:08:17, took 00:12:02, with 50 workers, on 844 cases, 0 failed, 0 traces, 1 retries
-;-;-;./rtr.bin, udp
http://sources.freertr.org/cfg/p4lang-acl001.tst;p4lang-acl001.tst;success;p4lang: copp
http://sources.freertr.org/cfg/p4lang-acl002.tst;p4lang-acl002.tst;success;p4lang: ingress access list
http://sources.freertr.org/cfg/p4lang-acl003.tst;p4lang-acl003.tst;success;p4lang: egress access list
http://sources.freertr.org/cfg/p4lang-acl004.tst;p4lang-acl004.tst;success;p4lang: nat
http://sources.freertr.org/cfg/p4lang-acl005.tst;p4lang-acl005.tst;success;p4lang: vlan ingress access list
http://sources.freertr.org/cfg/p4lang-acl006.tst;p4lang-acl006.tst;success;p4lang: vlan egress access list
http://sources.freertr.org/cfg/p4lang-acl007.tst;p4lang-acl007.tst;success;p4lang: bundle ingress access list
http://sources.freertr.org/cfg/p4lang-acl008.tst;p4lang-acl008.tst;success;p4lang: bundle egress access list
http://sources.freertr.org/cfg/p4lang-acl009.tst;p4lang-acl009.tst;success;p4lang: bundle vlan ingress access list
http://sources.freertr.org/cfg/p4lang-acl010.tst;p4lang-acl010.tst;success;p4lang: bundle vlan egress access list
http://sources.freertr.org/cfg/p4lang-acl011.tst;p4lang-acl011.tst;success;p4lang: bridge ingress access list
http://sources.freertr.org/cfg/p4lang-acl012.tst;p4lang-acl012.tst;success;p4lang: bridge egress access list
http://sources.freertr.org/cfg/p4lang-acl013.tst;p4lang-acl013.tst;success;p4lang: vlan bridge ingress access list
http://sources.freertr.org/cfg/p4lang-acl014.tst;p4lang-acl014.tst;success;p4lang: vlan bridge egress access list
http://sources.freertr.org/cfg/p4lang-acl015.tst;p4lang-acl015.tst;success;p4lang: ingress pppoe access list
http://sources.freertr.org/cfg/p4lang-acl016.tst;p4lang-acl016.tst;success;p4lang: egress pppoe access list
http://sources.freertr.org/cfg/p4lang-acl017.tst;p4lang-acl017.tst;success;p4lang: ingress vlan pppoe access list
